player,DKP
Invisus,240.00
Swifthoof,232.00
Trolux,184.00
Kraff,183.00
Kajiro,172.00
Karlemagne,158.00
Kedran,154.00
Mockturtle,152.00
Oru,152.00
Skrums,149.00
Westerntoad,143.00
Notocas,134.00
Gigglezog,133.00
Milleroflite,133.00
Dumoose,131.00
Lockett,122.00
Teninchtotem,120.00
Lionar,110.00
Killaklown,106.00
Terpydan,106.00
Naamog,91.00
Gorky,90.00
Hivbringer,87.00
Crimson,85.00
Boomroasted,83.00
Zechhs,69.00
Tangyzizzle,66.00
Pytch,64.00
Dreka,58.00
Obsinius,57.00
Razziel,52.00
Syku,51.00
Katlike,47.00
Emohotep,46.00
Kourthe,29.00
Rockhound,29.00
Berock,21.00
Kintil,19.00
Ashmorania,16.00
Gunthatron,16.00
Hyde,16.00
Frostednugs,6.00
Takyonn,5.00
Anatomical,59.00
Twetta,61.00
Gloopo,61.00
Beladonna,62.00
Thants,62.00
Skinnypaynus,63.00
Dadslam,63.00
Purification,64.00
Miette,64.00
Laid,65.00
Mitochondrio,65.00
Phrosti,65.00
Dyzzy,66.00
Eulogize,66.00
Cantmelt,66.00
Thugspeedman,67.00
Nawatobot,67.00
Jives,67.00
Dioxbrando,68.00
Beyoonce,68.00
Arkke,69.00
Issues,69.00
Rauul,71.00
Levi,71.00
Donias,71.00
Bigpharma,74.00
Glib,75.00
Ragoo,75.00
Deathbear,75.00
Aviallyn,76.00
Babdon,76.00
Baloin,76.00
Dahresto,77.00
Bradimir,78.00
Sterrling,80.00
Ossifa,81.00
Marmalade,82.00
Beastmind,82.00
Thealliance,82.00
Leafx,88.00
Mald,93.00
Morlock,105.00
Ewethanasia,105.00
Sailing,107.00
Erik,110.00
Clayps,132.00
Magga,133.00
Ermitpurple,161.00
Telleh,173.00
Renvi,176.00
Dahrogue,177.00
Revendel,185.00
Oodsigma,300.00
Lambeater,400.00
