player,DKP
Anatomical,1.71
Twetta,2.99
Gloopo,3.1
Beladonna,4.72
Thants,5.08
Skinnypaynus,5.53
Dadslam,5.85
Purification,6.63
Miette,7.29
Laid,7.69
Mitochondrio,7.69
Phrosti,8.1
Dyzzy,8.87
Eulogize,9.29
Cantmelt,9.3
Thugspeedman,10.01
Nawatobot,10.03
Jives,10.62
Dioxbrando,11.13
Beyoonce,11.64
Arkke,12.27
Issues,12.34
Rauul,14.6
Levi,14.65
Donias,14.92
Bigpharma,18.6
Glib,19.58
Ragoo,19.75
Deathbear,19.9
Aviallyn,20.38
Babdon,20.62
Baloin,21.47
Dahresto,21.97
Bradimir,22.98
Sterrling,26.1
Ossifa,26.35
Marmalade,27.82
Beastmind,27.92
Thealliance,28.15
Leafx,34.94
Mald,40.98
Morlock,54.36
Ewethanasia,54.64
Sailing,56.91
Erik,60.53
Clayps,86.41
Magga,86.78
Ermitpurple,119.8
Telleh,132.88
Renvi,137.08
Dahrogue,137.82
Revendel,147.5
Oodsigma,280.69
Lambeater,396.89
